"KINDPATENT","Patents Office & Patents Families","KINDCOUNTRY","Reference country","LOCATION","Country","IPC","Technology domains & IPC","KINDDATE","Reference Date","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2006","2006","NBR","Number","0","Units","2017","2017",1171.6087,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2007","2007","NBR","Number","0","Units","2017","2017",1328.144,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2008","2008","NBR","Number","0","Units","2017","2017",1319.5661,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2009","2009","NBR","Number","0","Units","2017","2017",1187.6357,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2010","2010","NBR","Number","0","Units","2017","2017",1275.4306,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2011","2011","NBR","Number","0","Units","2017","2017",1438.6792,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2012","2012","NBR","Number","0","Units","2017","2017",1448.2382,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2013","2013","NBR","Number","0","Units","2017","2017",1386.6705,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2014","2014","NBR","Number","0","Units","2017","2017",1483.6325,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2015","2015","NBR","Number","0","Units","2017","2017",1529.3184,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2016","2016","NBR","Number","0","Units","2017","2017",1549.847,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2017","2017","NBR","Number","0","Units","2017","2017",1554.3783,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUT","Austria","TOTAL","Total Patents","APPLICATION","Application date","2018","2018","NBR","Number","0","Units","2017","2017",1597.4437,,
